"","Drzava","Indeks izobrazbe"
"1","Afghanistan",0.413
"2","Albania",0.758
"3","Algeria",0.675
"4","Andorra",0.708
"5","Angola",0.498
"6","Antigua and Barbuda",0.655
"7","Argentina",0.842
"8","Armenia",0.759
"9","Australia",0.923
"10","Austria",0.871
"11","Azerbaijan",0.694
"12","Bahamas",0.741
"13","Bahrain",0.738
"14","Bangladesh",0.513
"15","Barbados",0.773
"16","Belarus",0.837
"17","Belgium",0.893
"18","Belize",0.691
"19","Benin",0.476
"20","Bhutan",0.441
"21","Bolivia",0.69
"22","Bosnia and Herzegovina",0.706
"23","Botswana",0.664
"24","Brazil",0.689
"25","Brunei Darussalam",0.703
"26","Bulgaria",0.805
"27","Burkina Faso",0.3
"28","Burundi",0.418
"29","Cabo Verde",0.538
"30","Cambodia",0.476
"31","Cameroon",0.564
"32","Canada",0.891
"33","Central African Republic",0.353
"34","Chad",0.288
"35","Chile",0.807
"36","China",0.649
"37","Colombia",0.683
"38","Comoros",0.476
"39","Congo",0.539
"40","Congo",0.495
"41","Costa Rica",0.716
"42","Croatia",0.796
"43","Cuba",0.791
"44","Cyprus",0.811
"45","Czechia",0.892
"46","Côte d'Ivoire",0.441
"47","Denmark",0.92
"48","Djibouti",0.313
"49","Dominica",0.62
"50","Dominican Republic",0.657
"51","Ecuador",0.714
"52","Egypt",0.608
"53","El Salvador",0.566
"54","Equatorial Guinea",0.441
"55","Eritrea",0.269
"56","Estonia",0.881
"57","Eswatini",0.541
"58","Ethiopia",0.335
"59","Fiji",0.764
"60","Finland",0.915
"61","France",0.811
"62","Gabon",0.636
"63","Gambia",0.386
"64","Georgia",0.856
"65","Germany",0.946
"66","Ghana",0.559
"67","Greece",0.833
"68","Grenada",0.755
"69","Guatemala",0.511
"70","Guinea",0.34
"71","Guinea-Bissau",0.402
"72","Guyana",0.601
"73","Haiti",0.445
"74","Honduras",0.503
"75","Hong Kong, China",0.86
"76","Hungary",0.816
"77","Iceland",0.918
"78","India",0.558
"79","Indonesia",0.625
"80","Iran",0.743
"81","Iraq",0.554
"82","Ireland",0.918
"83","Israel",0.876
"84","Italy",0.793
"85","Jamaica",0.692
"86","Japan",0.85
"87","Jordan",0.678
"88","Kazakhstan",0.817
"89","Kenya",0.526
"90","Kiribati",0.59
"91","Korea",0.862
"92","Kuwait",0.625
"93","Kyrgyzstan",0.734
"94","Lao People's Democratic Republic",0.481
"95","Latvia",0.871
"96","Lebanon",0.604
"97","Lesotho",0.51
"98","Liberia",0.422
"99","Libya",0.607
"100","Liechtenstein",0.827
"101","Lithuania",0.89
"102","Luxembourg",0.802
"103","Madagascar",0.493
"104","Malawi",0.459
"105","Malaysia",0.713
"106","Maldives",0.564
"107","Mali",0.29
"108","Malta",0.818
"109","Marshall Islands",0.707
"110","Mauritania",0.389
"111","Mauritius",0.73
"112","Mexico",0.684
"113","Micronesia",0.578
"114","Moldova",0.708
"115","Mongolia",0.734
"116","Montenegro",0.797
"117","Morocco",0.547
"118","Mozambique",0.389
"119","Myanmar",0.452
"120","Namibia",0.582
"121","Nepal",0.501
"122","Netherlands",0.906
"123","New Zealand",0.923
"124","Nicaragua",0.566
"125","Niger",0.247
"126","Nigeria",0.486
"127","North Macedonia",0.697
"128","Norway",0.919
"129","Oman",0.732
"130","Pakistan",0.407
"131","Palau",0.845
"132","Palestine, State of",0.66
"133","Panama",0.697
"134","Papua New Guinea",0.432
"135","Paraguay",0.634
"136","Peru",0.692
"137","Philippines",0.667
"138","Poland",0.866
"139","Portugal",0.759
"140","Qatar",0.661
"141","Romania",0.762
"142","Russian Federation",0.832
"143","Rwanda",0.457
"144","Saint Kitts and Nevis",0.661
"145","Saint Lucia",0.668
"146","Saint Vincent and the Grenadines",0.664
"147","Samoa",0.701
"148","Sao Tome and Principe",0.567
"149","Saudi Arabia",0.794
"150","Senegal",0.352
"151","Serbia",0.783
"152","Seychelles",0.752
"153","Sierra Leone",0.403
"154","Singapore",0.837
"155","Slovakia",0.824
"156","Slovenia",0.893
"157","Solomon Islands",0.469
"158","South Africa",0.721
"159","South Sudan",0.301
"160","Spain",0.824
"161","Sri Lanka",0.756
"162","Sudan",0.339
"163","Suriname",0.661
"164","Sweden",0.914
"165","Switzerland",0.896
"166","Syrian Arab Republic",0.416
"167","Tajikistan",0.673
"168","Tanzania",0.423
"169","Thailand",0.665
"170","Timor-Leste",0.496
"171","Togo",0.514
"172","Tonga",0.771
"173","Trinidad and Tobago",0.728
"174","Tunisia",0.659
"175","Turkey",0.712
"176","Turkmenistan",0.628
"177","Uganda",0.515
"178","Ukraine",0.797
"179","United Arab Emirates",0.744
"180","United Kingdom",0.916
"181","United States",0.899
"182","Uruguay",0.745
"183","Uzbekistan",0.718
"184","Vanuatu",0.545
"185","Venezuela",0.7
"186","Viet Nam",0.626
"187","Yemen",0.347
"188","Zambia",0.572
"189","Zimbabwe",0.568
