"","Drzava","Indeks prihodka"
"1","Afghanistan",0.432
"2","Albania",0.727
"3","Algeria",0.743
"4","Andorra",0.935
"5","Angola",0.607
"6","Antigua and Barbuda",0.816
"7","Argentina",0.781
"8","Armenia",0.684
"9","Australia",0.92
"10","Austria",0.927
"11","Azerbaijan",0.759
"12","Bahamas",0.853
"13","Bahrain",0.907
"14","Bangladesh",0.559
"15","Barbados",0.766
"16","Belarus",0.776
"17","Belgium",0.919
"18","Belize",0.645
"19","Benin",0.462
"20","Bhutan",0.673
"21","Bolivia",0.638
"22","Bosnia and Herzegovina",0.732
"23","Botswana",0.766
"24","Brazil",0.747
"25","Brunei Darussalam",1
"26","Bulgaria",0.798
"27","Burkina Faso",0.428
"28","Burundi",0.285
"29","Cabo Verde",0.631
"30","Cambodia",0.541
"31","Cameroon",0.528
"32","Canada",0.918
"33","Central African Republic",0.31
"34","Chad",0.429
"35","Chile",0.815
"36","China",0.768
"37","Colombia",0.734
"38","Comoros",0.482
"39","Congo",0.613
"40","Congo",0.314
"41","Costa Rica",0.755
"42","Croatia",0.822
"43","Cuba",0.658
"44","Cyprus",0.876
"45","Czechia",0.869
"46","Côte d'Ivoire",0.541
"47","Denmark",0.935
"48","Djibouti",0.541
"49","Dominica",0.684
"50","Dominican Republic",0.758
"51","Ecuador",0.698
"52","Egypt",0.706
"53","El Salvador",0.641
"54","Equatorial Guinea",0.783
"55","Eritrea",0.429
"56","Estonia",0.863
"57","Eswatini",0.686
"58","Ethiopia",0.435
"59","Fiji",0.682
"60","Finland",0.912
"61","France",0.907
"62","Gabon",0.765
"63","Gambia",0.408
"64","Georgia",0.689
"65","Germany",0.929
"66","Ghana",0.561
"67","Greece",0.834
"68","Grenada",0.732
"69","Guatemala",0.65
"70","Guinea",0.468
"71","Guinea-Bissau",0.418
"72","Guyana",0.654
"73","Haiti",0.425
"74","Honduras",0.567
"75","Hong Kong, China",0.967
"76","Hungary",0.846
"77","Iceland",0.931
"78","India",0.638
"79","Indonesia",0.714
"80","Iran",0.786
"81","Iraq",0.761
"82","Ireland",0.955
"83","Israel",0.879
"84","Italy",0.89
"85","Jamaica",0.661
"86","Japan",0.908
"87","Jordan",0.667
"88","Kazakhstan",0.816
"89","Kenya",0.516
"90","Kiribati",0.554
"91","Korea",0.892
"92","Kuwait",0.992
"93","Kyrgyzstan",0.529
"94","Lao People's Democratic Republic",0.626
"95","Latvia",0.842
"96","Lebanon",0.712
"97","Lesotho",0.526
"98","Liberia",0.354
"99","Libya",0.719
"100","Liechtenstein",1
"101","Lithuania",0.86
"102","Luxembourg",0.98
"103","Madagascar",0.399
"104","Malawi",0.37
"105","Malaysia",0.847
"106","Maldives",0.73
"107","Mali",0.45
"108","Malta",0.884
"109","Marshall Islands",0.579
"110","Mauritania",0.547
"111","Mauritius",0.82
"112","Mexico",0.781
"113","Micronesia",0.545
"114","Moldova",0.638
"115","Mongolia",0.707
"116","Montenegro",0.78
"117","Morocco",0.652
"118","Mozambique",0.369
"119","Myanmar",0.612
"120","Namibia",0.691
"121","Nauru",0.779
"122","Nepal",0.501
"123","Netherlands",0.939
"124","New Zealand",0.885
"125","Nicaragua",0.584
"126","Niger",0.334
"127","Nigeria",0.594
"128","North Macedonia",0.734
"129","Norway",0.985
"130","Oman",0.893
"131","Pakistan",0.597
"132","Palau",0.773
"133","Palestine, State of",0.6
"134","Panama",0.804
"135","Papua New Guinea",0.545
"136","Paraguay",0.72
"137","Peru",0.727
"138","Philippines",0.689
"139","Poland",0.849
"140","Portugal",0.851
"141","Qatar",1
"142","Romania",0.827
"143","Russian Federation",0.834
"144","Rwanda",0.449
"145","Saint Kitts and Nevis",0.844
"146","Saint Lucia",0.717
"147","Saint Vincent and the Grenadines",0.72
"148","Samoa",0.616
"149","Sao Tome and Principe",0.515
"150","Saudi Arabia",0.937
"151","Senegal",0.526
"152","Serbia",0.759
"153","Seychelles",0.835
"154","Sierra Leone",0.397
"155","Singapore",1
"156","Slovakia",0.865
"157","Slovenia",0.872
"158","Solomon Islands",0.455
"159","South Africa",0.72
"160","South Sudan",0.404
"161","Spain",0.885
"162","Sri Lanka",0.718
"163","Sudan",0.556
"164","Suriname",0.722
"165","Sweden",0.932
"166","Switzerland",0.965
"167","Syrian Arab Republic",0.499
"168","Tajikistan",0.536
"169","Tanzania",0.504
"170","Thailand",0.768
"171","Timor-Leste",0.653
"172","Togo",0.418
"173","Tonga",0.613
"174","Trinidad and Tobago",0.854
"175","Tunisia",0.706
"176","Turkey",0.833
"177","Turkmenistan",0.77
"178","Tuvalu",0.603
"179","Uganda",0.433
"180","Ukraine",0.662
"181","United Arab Emirates",0.983
"182","United Kingdom",0.903
"183","United States",0.956
"184","Uruguay",0.796
"185","Uzbekistan",0.63
"186","Vanuatu",0.504
"187","Venezuela",0.681
"188","Viet Nam",0.624
"189","Yemen",0.402
"190","Zambia",0.541
"191","Zimbabwe",0.496
